be,olmak,verb,He is,a teacher
have,sahip olmak,verb,I,a pen
do,yapmak,verb,She,her homework
say,söylemek,verb,He,goodbye
get,almak,verb,I will,soon as I can
make,yapmak,verb,She,beautiful cakes
go,gitmek,verb,He,to school every day
know,bilmek,verb,I,your brother
take,almak,verb,Please,this book with you
see,görmek,verb,I,the mountains from here
come,gelmek,verb,Please,to my birthday party
think,düşünmek,verb,I,it's a good idea
look,bakmak,verb,Please,at that beautiful sunset
want,istemek,verb,Do you,some chocolate
give,vermek,verb,Please,me the book
use,kullanmak,verb,You can,this tool for that
find,bulmak,verb,I,my lost keys
tell,anlatmak,verb,Can you,me your secret
ask,sormak,verb,Please,the teacher for help
work,çalışmak,verb,She,in marketing
seem,görünmek,verb,It,like a good solution
feel,hissetmek,verb,I,very happy today
try,denemek,verb,Please,the new restaurant
leave,ayrılmak,verb,I'm,for the airport
call,aramak,verb,Please,me when you arrive
need,ihtiyacı olmak,verb,I,your help
put,koymak,verb,Please,your books on the shelf
mean,anlamına gelmek,verb,What does this word,mean
keep,tutmak,verb,Please,this secret
let,izin vermek,verb,Please,me help you
begin,başlamak,verb,The movie,at seven o'clock
help,yardım etmek,verb,Can you,me with this problem
talk,konuşmak,verb,Let's,about this later
turn,dönmek,verb,Please,left at the traffic light
start,başlamak,verb,Please,your engines now
show,göstermek,verb,Please,me your new car
hear,duymak,verb,I,a strange noise last night
play,oynamak,verb,Children,in the park
run,koşmak,verb,She,every morning in the gym
move,hareket etmek,verb,Don't,your head suddenly
like,beğenmek,verb,I really,your new haircut
live,yaşamak,verb,We,in Berlin
believe,inanmak,verb,I,in hard work
hold,tutmak,verb,Please,my hand tightly
bring,getirmek,verb,Please,me the newspaper
happen,olmak,verb,What,yesterday at the market
write,yazmak,verb,Please,your name on this paper
provide,sağlamak,verb,The company,good benefits
sit,oturmak,verb,Please,down and relax
stand,ayakta durmak,verb,Please,up straight
pay,ödemek,verb,Please,the bill now
meet,buluşmak,verb,Let's,at the cafe tomorrow
include,dahil etmek,verb,The price,taxes already
continue,devam etmek,verb,We will,tomorrow morning
set,ayarlamak,verb,Please,the alarm for 7 am
learn,öğrenmek,verb,I want to,English fluently
change,değiştirmek,verb,Please,your clothes now
lead,öncülük etmek,verb,She,the team to victory
understand,anlamak,verb,Do you,my question correctly
watch,izlemek,verb,We,a good movie last night
follow,takip etmek,verb,Please,the instructions carefully
stop,durmak,verb,Please,the car immediately
create,yaratmak,verb,He,a new invention
speak,konuşmak,verb,She,three languages fluently
read,okumak,verb,Please,the book completely
allow,izin vermek,verb,This ticket,you to enter here
add,eklemek,verb,Please,salt to the soup
spend,harcamak,verb,I,money on books and supplies
grow,büyümek,verb,Plants,in sunlight and water
open,açmak,verb,Please,the door for me
walk,yürümek,verb,Let's,with me to the park
win,kazanmak,verb,Our team will,the game today
offer,teklif etmek,verb,They,me a great job
remember,hatırlamak,verb,I,your name perfectly
love,sevmek,verb,I,you very much
consider,dikkate almak,verb,Please,this carefully
appear,görünmek,verb,He,happy and relaxed
buy,satın almak,verb,I will,a new car soon
wait,beklemek,verb,Please,for me here
die,ölmek,verb,The flowers,from drought and heat
send,göndermek,verb,Please,this letter today
expect,beklemek (ummak),verb,I,you tomorrow afternoon
build,inşa etmek,verb,They,a new house downtown
stay,kalmak,verb,Please,here and wait
fall,düşmek,verb,The leaves,in autumn every year
cut,kesmek,verb,Please,the bread with a knife
reach,ulaşmak,verb,We finally,the destination
kill,öldürmek,verb,His allergy can,him
raise,yükseltmek,verb,Please,your hand high
pass,geçmek,verb,Please,the salt to me
sell,satmak,verb,He,cars for a living
require,gerektirmek,verb,The job,experience
report,rapor etmek,verb,Please,to headquarters
decide,karar vermek,verb,They,to leave early
pull,çekmek,verb,Please,the rope harder
drive,araba sürmek,verb,He,to work daily
return,geri dönmek,verb,Please,the book tomorrow
explain,açıklamak,verb,Please,the problem to us
hope,ummak,verb,I,you will succeed
push,itmek,verb,Please,the button now
pants,pantolon,noun,I wear,every day
t-shirt,tişört,noun,She put on a,this morning
shoes,ayakkabı,noun,These,are very comfortable
socks,çorap,noun,I have clean,
hat,şapka,noun,He always wears a,
shorts,şort,noun,These,are blue
skirt,etek,noun,She wears a beautiful,
blouse,bluz,noun,That pink,looks great
sandals,sandalet,noun,I wear,in the summer
boots,bot,noun,My winter,are very warm
scarf,atkı,noun,She wrapped her,tightly
shirt,gömlek,noun,He wears a white,
tie,kravat,noun,His red,looks professional
jacket,ceket,noun,I need a new,
belt,kemer,noun,Tighten your,now
dress,elbise,noun,She wears a beautiful,
bread,ekmek,noun,This fresh,smells wonderful
omelet,omlet,noun,She makes a good,every morning
pancake,pankek,noun,I really like,for breakfast
bagel,simit,noun,Have you ever tried a,
jam,reçel,noun,Spread,on the bread
cheese,peynir,noun,This,is delicious
sausages,sosis,noun,These,are very tasty
salad,salata,noun,The green, is healthy
chocolate,çikolata,noun,I really love,
crepe,krep,noun,A thin,is a French food
onions,soğan,noun,Please chop the,
lettuce,marul,noun,This fresh,is green
cookies,kurabiye,noun,These sweet,taste great
sugar,şeker,noun,Add some,to your coffee
flour,un,noun,We need,for bread
peas,bezelye,noun,These green,are nutritious
pineapple,ananas,noun,This sweet,is fresh
watermelon,karpuz,noun,A cold,is very refreshing
peppers,biberler,noun,These hot,are spicy
coconut,hindistan cevizi,noun,This fresh,tastes great
yogurt,yoğurt,noun,I eat,every morning
noodles,noodle,noun,These,are good
soup,çorba,noun,The hot,is delicious
